username,text
248lyndam,staff profess courteou provid excel servic like shuttl gave excel recommend nearbi restaur even gave walk direct get restaur even offer shuttl room clean
260sudarshanl,good hotel reason rate situat near highway 8 car noi much night disturb sleep suggest peopl use facil contin breakfast fine
261dreap,pretti good stay staff bit rude room readi arriv good stay would go hope nicer maid servic door man help kind thank take minut share detail recent stay im plea enjoy stay door man help im disappoint team member came across rude team work hard deliv except servic clear fail stay discuss team insur happen thank bring attentionwaynegen manag
268wesf,nice locat conveni beach properti pretti old outdat room mani cockroach cockroach desk furnitur would nice room pest free
275francesg,went dark room light noth brighten also drove thought place desert shut turn around lefteven though lose 100
284jenniferw,stay town see show fox short drive fox galleria super close forest park clean hotel friendli staff would definit stay
292donaldw,l happi see hotel clean insid nice breakfast room friendli staff happi answer question l place eat direct place girl check us greatest nice laundri room site l agr comment door
295leannel,brilliant place wish spent time stay one night use base see grand canyon realli enjoy complementari full breakfast love doubl room plenti space
296bettyh,over nice hotel howev encount group rowdi cheerlead loud complain night noi handl room clean comfort would stay sometim complain stay unplea compen inconveni
2BeKind,head chicago celebr friend septemb birthday central loop hotel amaz great locat great servic comfort clean would describ new york style room small certainli roomi bed amaz pillow soft fluffi entir experi 3 day great staff incr help found room readi earli checkin realli like floor elev purifi water station empti seal water bottl guest use great idea attach eleph castl great spot cocktail breakfast
2SmoothShellBoy,staff friendli clean room great locat definit stay right superdom far everyth el ice machin floor staff bring ice ur room quickli great stay
2coxatthebeach,spur moment decid spend weekend gloucest mani choic stay hampton inn knew great qualiti staff friendli room clean bedmorethank recent review hampton inn gloucest plea select hotel spur minut stay pleasant plea come soon
2intrepid,stay 5 night luxuri 10 night crui around hawaian island hotel basic tourist hotel clean comfort staff help struggl heat room air con effici basic fresh fruit cereal toast cake boil egg breakfast avail
2judyp,good quiet locat away shop still heart within walk distanc everyth includ grand canyon railway usual noi neighbor run water door close mumbl voic wall id stay
2lindamar,plan use 2 free hyatt night mexico fell time run even though thought go wast stay hyatt hou seattl didnt choic turn made excel choic though luxuri hotel mexico visit hyatt hou wonder check straightforward easi best servic ever later move request strang angl corner room view look anoth room absolut delight stay room surprisingli quiet despit next street near seattl center activ love locat liter across street space needl view space needl outsid window romant rooftop terrac provid unparallel 360 degr view citi room layout realli cool decor modern like boutiqu hotel bed comfort firm hard minor complaint textur fabric bedspread bit rough touch sheet crisp smooth anoth minor detail miss tub soak rain shower turn fine lot space shower could use seat shelf sit lot storag space well hanger stay day want unpack kitchen fulli stock includ dish soap seem unusu hotel day reason dont understand free hotel shuttl great valu breakfast decent pretti good select though crowd sunday morn thing wasnt perfect stay fact housekeep never came second day put sign door saw housekeep next door leav reason room skip alway nice come home freshenedup room made bed enough towel get us fine especi given everyth el good save best part last let say anyth describ like far stay hyatt hou absolut amaz servic provid eden front desk everyon front desk truli great shine star im sure ive ever experienc genuin welcom felt appreci custom made husband feel thank perfect weekend getaway
2maureenm,plea staff profess also friendli help love bar cooki tea nice staff help late check excel hotelgreat locat
2runaway,moment enter hotel warmli greet andrew leinbach front desk manag first time ever stay hotel thank wonder manag cour fine facil servic definit last manag made sure got
2seniorcitizens,busi trip harrisburg found good deal hotel close capit beauti hotel exceedingli comfort room mani amen help staff ask tv schedul deliv room wonder couldnt connect wifi
2wand3r3rs,front desk recept staff welcom lobbi comfort invit room dark damp bathroom mold corner need good scrub bleach lamin floor need clean scuff mark nail polish drop breakfast bad dri biscuit jam peanut butter toast yogurt
302davidss,stop hampton inn kingsland way home napl fl half way point hotel clean bed extrem comfort breakfast great next morn hit road final leg trip steakhou across street perfect dinner
